listing_id,id,date,month,year,reviewer_id,reviewer_name,comments,overall
4461613.0,1.06e+18,2024-01-01,1,2024,367525436,Sean,Very nice apartment in a nice location.  The apartment was very clean and easy to find.,5.0
4461613.0,1.07e+18,2024-01-09,1,2024,44278421,Rob,"Good spot in beacon hill, price is appropriate for other places in the neighborhood.",4.0
4461613.0,1.07e+18,2024-01-15,1,2024,254595380,Matt,Great stay and place was clean - bed only had sheets upon check in but host was very responsive and got us blankets within a quick timeframe.,4.0
4461613.0,1.08e+18,2024-01-26,1,2024,193041886,Nicole,"Room was quiet small, the area is not very spacious but the very ideal location makes up for it, as it is located close to T stops, convenience stores, liquor stores, coffee shops, restaurants, all the essentials! Our favorite part of the place was the heated bathroom floors which are a must in winter!",4.0
4461613.0,1.08e+18,2024-01-27,1,2024,439866285,Colton,"Area was beautiful. Maverick was an awesome host with great communication. Pictures were a little deceiving on size of room, and you can hear everything through the walls so little to no privacy. Other than that it was a great little place to stay with plenty of sights to see! Would stay again definitely.",4.0
4461613.0,1.08e+18,2024-02-03,2,2024,420166656,Emma,"Perfect little place for 1-2 people! The best part of this place is the location, so many good spots near by and the park is right down the street. Host was very nice with clear instructions, also. We greatly enjoyed our stay.",5.0
4461613.0,1.1e+18,2024-02-23,2,2024,314671883,CeCe,"Room was very comfortable and clean and had all I needed stove, microwave, utensils, soap, towels, clean sheets, spacious closet and quiet neighbors. Host gave instructions on which direction the room was gave me an early check in it was very easy to check in on my own. Keep in mind The stairs can be tough if u have trouble walking but I had no concern for that. Would recommend the stay.",5.0
4461613.0,1.1e+18,2024-02-25,2,2024,183758112,Erin,It was really nice!,5.0
4461613.0,1.1e+18,2024-02-28,2,2024,313829958,Wendy,My stay at this location was absolutely fantastic. My daughter attends Emerson and it was a short walk over to meet her for lunch and see the sites. Maverick was amazing with communication and the studio was perfect!,5.0
4461613.0,1.11e+18,2024-03-04,3,2024,494410599,Marin,"Nice, cozy space for our trip to Boston! Had everything we needed and was a perfect place to crash after a long day.",5.0
4461613.0,1.11e+18,2024-03-10,3,2024,556869357,Lily,Great place and great location! Would recommend,5.0
4461613.0,1.11e+18,2024-03-12,3,2024,564137596,Ashley,"Location was awesome! Place we stayed was also very clean and cozy, no clutter! Host is also friendly and very responsive. Would recommend for staying in Boston 👍",5.0
4461613.0,1.12e+18,2024-03-30,3,2024,32161754,Luiz Andre,Excelente estadia. Apartamento excelente para uma pessoa. Muito bem localizado e bem equipado. O time de Maverick responde rapidamente e está sempre disponível para ajudar.,5.0
4461613.0,1.13e+18,2024-04-01,4,2024,460521885,Richard,Would recommend to anyone!,5.0
4461613.0,1.14e+18,2024-04-21,4,2024,566944403,Joe,Great location and cozy place. Definitely bring your own soap/shampoo (they are comically tiny).,4.0
4461613.0,1.14e+18,2024-04-27,4,2024,7933472,Seth,"While the location of the rental was great, as it was within walking distance of Boston Commons and so many places to eat and drink, I ultimately wish that I would have just booked a hotel room because the place was so small that I felt very cramped (I hit my head off the mounted TV in the room about 20 times). The room was not much larger than full size bed, and one side of the bed seemed nearly impossible to use because if one were to try to  sit up, the angled roof would be in the way. In fact, the only place that I have ever had such a small room, particularly for the price, was in Tokyo, and at least there, it makes sense because of the population density. If the price were lower or it had any amenities like an early check-in or free bike usage or  really anything, maybe it would be worth the money, but as it is, I would gladly shell out an extra $50 for a hotel room next time because. It's too bad because it kind of turned me off using Airbnb for awhile.",2.0
4461613.0,1.15e+18,2024-05-01,5,2024,273323188,Brandon,"Amazing location, amazing historic building. So much, so close. Weren’t in the room very much except for sleeping at night. Only issue was it was like 40 degrees outside and 80 in the room with the window WIDE OPEN. It was a little hot and there were explicit instructions not to turn on the AC.  Other than that, GREAT!",4.0
4461613.0,1.15e+18,2024-05-02,5,2024,209080995,Alexander,Very easy walk to TD garden! We stayed for a Celtics game and couldn’t have been more pleased with the location. Perfect spot for 2 people!,5.0
4461613.0,1.16e+18,2024-05-13,5,2024,93611447,Joe,walkable distance to TD Garden,4.0
4461613.0,1.16e+18,2024-05-24,5,2024,27907506,Andrew,Great location. Room is small but has everything you need. Note that it's a 4th-floor walkup.,5.0
4461613.0,1.18e+18,2024-06-16,6,2024,583393476,Thomas,"Prime location, clean room, very communicative host. Def recommend for a trip to Boston",4.0
4461846.0,1.16e+18,2024-05-20,5,2024,32754863,Nicole,De locatie van dit kleine maar functionele appartement was erg goed. South end is een hele leuke buurt. Het contact met Maverick was snel en goed! Verder niet nodig gehad omdat alles goed werkt.,4.0
4461901.0,1.07e+18,2024-01-19,1,2024,20775004,Adam,"Pros: The space is super nice, decent sized studio, couch, decent bathroom, functional kitchen. Space was clean. The refrigerator is only a micro fridge which might be difficult for long term stays, which I booked. The location is excellent, very close to restaurants and the prime of Boston<br/>The big con: The walls are paper thin and you can literally here anything the neighbors are doing as if it were in your apartment. If the neighbor's sink is on, it sounds like a shower over your bed. If they use the microwave, it sounds like it's cooking right next to you. There are supposed to be quiet hours after 9 pm. but that is impossible to enforce remotely (no management on site). I appreciate the owner worked with me to refund the balance of my stay (nearly all of it).",3.0
4623114.0,1.06e+18,2024-01-01,1,2024,376410682,Lucas,Perfect location and great team!,5.0
4623114.0,1.09e+18,2024-02-11,2,2024,116576350,Umut,"Clean and tidy, exactly what you see in the pictures. Easy check-in/out, and the host always reponsive",5.0
4623114.0,1.12e+18,2024-03-31,3,2024,566206530,Mary,"We enjoyed our stay. The room was great, easy to find, easy to get in, and so close to everything we planed for the weekend.",5.0
